Symbol,Company Name,Industry,Index,Sector
NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",['NIFTY_CHEMICALS']
NAZARA.NS,Nazara Technologies Ltd.,Media Entertainment & Publication,['NIFTYTOTALMARKET'],['NIFTY_MEDIA']
NBCC.NS,NBCC (India) Ltd.,Construction,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
NCC.NS,NCC Ltd.,Construction,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
NEOGEN.NS,NEOGEN CHEMICALS LTD.,Chemicals,['NIFTYTOTALMARKET'],[]
NESCO.NS,NESCO Ltd.,Services,['NIFTYTOTALMARKET'],[]
NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",['NIFTY_FMCG']
NETWEB.NS,Netweb Technologies India Ltd.,Information Technology,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
NETWORK18.NS,Network18 Media & Investments Ltd.,Media Entertainment & Publication,['NIFTYTOTALMARKET'],['NIFTY_MEDIA']
NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
NFL.NS,National Fertilizers Ltd.,Chemicals,['NIFTYTOTALMARKET'],[]
NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
NHPC.NS,NHPC Ltd.,Power,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
NIACL.NS,The New India Assurance Company Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
NLCINDIA.NS,NLC India Ltd.,Power,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
NMDC.NS,NMDC Ltd.,Metals & Mining,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_METAL']
NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
NTPC.NS,NTPC Ltd.,Power,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",[]
NTPCGREEN.NS,NTPC Green Energy Ltd.,Power,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials,"['NIFTY500', 'NIFTYTOTALMARKET']",['NIFTY_CEMENT']
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_REALTY']
OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_IT']
OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_OILANDGAS']
OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
OLECTRA.NS,Olectra Greentech Ltd.,Automobile and Auto Components,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ONESOURCE.NS,Onesource Specialty Pharma Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",['NIFTY_OILANDGAS']
OPTIEMUS.NS,Optiemus Infracom Ltd.,Telecommunication,['NIFTYTOTALMARKET'],[]
ORCHPHARMA.NS,Orchid Pharma Ltd.,Healthcare,['NIFTYTOTALMARKET'],[]
ORIENTCEM.NS,Orient Cement Ltd.,Construction Materials,['NIFTYTOTALMARKET'],['NIFTY_CEMENT']
OSWALPUMPS.NS,Oswal Pumps Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
PAGEIND.NS,Page Industries Ltd.,Textiles,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
PARADEEP.NS,Paradeep Phosphates Ltd.,Chemicals,['NIFTYTOTALMARKET'],[]
PARAS.NS,Paras Defence and Space Technologies Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
PARKHOTELS.NS,Apeejay Surrendra Park Hotels Ltd.,Consumer Services,['NIFTYTOTALMARKET'],[]
PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_FMCG']
PATELENG.NS,Patel Engineering Ltd.,Construction,['NIFTYTOTALMARKET'],[]
PAYTM.NS,One 97 Communications Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
PCBL.NS,PCBL Chemical Ltd.,Chemicals,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",['NIFTY_CHEMICALS']
PCJEWELLER.NS,PC Jeweller Ltd.,Consumer Durables,['NIFTYTOTALMARKET'],[]
PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_IT']
PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_OILANDGAS']
PFC.NS,Power Finance Corporation Ltd.,Financial Services,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']","['NIFTY_FINANCIAL_SERVICES', 'NIFTY_FINANCIAL_SERVICES25-50LIST']"
PFIZER.NS,Pfizer Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
PFOCUS.NS,Prime Focus Ltd,Media Entertainment & Publication,[],['NIFTY_MEDIA']
PGEL.NS,PG Electroplast Ltd.,Consumer Durables,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",['NIFTY_CONSUMER_DURABLES']
PGHH.NS,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
